JULIETA;SMS;3418975643
PEPE;MAIL;pepe@hotmail.com
JUAN;MAIL;juan@hotmail.com
ALEJANDRA;PUSH_NOTIFICATION;whf87t8bfshjb87yy89
GABRIEL;PUSH_NOTIFICATION;456456655g64sdg
JULIETA;SMS;3418975643
PEPE;MAIL;pepe@hotmail.com
JUAN;MAIL;juan@hotmail.com
ALEJANDRA;PUSH_NOTIFICATION;whf87t8bfshjb87yy89
GABRIEL;PUSH_NOTIFICATION;456456655g64sdg
JULIETA;SMS;3418975643
PEPE;MAIL;pepe@hotmail.com
JUAN;MAIL;juan@hotmail.com
ALEJANDRA;PUSH_NOTIFICATION;whf87t8bfshjb87yy89
GABRIEL;PUSH_NOTIFICATION;456456655g64sdg
JULIETA;SMS;3418975643
PEPE;MAIL;pepe@hotmail.com
JUAN;MAIL;juan@hotmail.com
ALEJANDRA;PUSH_NOTIFICATION;whf87t8bfshjb87yy89
GABRIEL;PUSH_NOTIFICATION;456456655g64sdg
JULIETA;SMS;3418975643
PEPE;MAIL;pepe@hotmail.com
JUAN;MAIL;juan@hotmail.com
ALEJANDRA;PUSH_NOTIFICATION;whf87t8bfshjb87yy89
GABRIEL;PUSH_NOTIFICATION;456456655g64sdg
JULIETA;SMS;3418975643
PEPE;MAIL;pepe@hotmail.com
JUAN;MAIL;juan@hotmail.com
ALEJANDRA;PUSH_NOTIFICATION;whf87t8bfshjb87yy89
GABRIEL;PUSH_NOTIFICATION;456456655g64sdg
JULIETA;SMS;3418975643
PEPE;MAIL;pepe@hotmail.com
JUAN;MAIL;juan@hotmail.com
ALEJANDRA;PUSH_NOTIFICATION;whf87t8bfshjb87yy89
GABRIEL;PUSH_NOTIFICATION;456456655g64sdg
JULIETA;SMS;3418975643
PEPE;MAIL;pepe@hotmail.com
JUAN;MAIL;juan@hotmail.com
ALEJANDRA;PUSH_NOTIFICATION;whf87t8bfshjb87yy89
GABRIEL;PUSH_NOTIFICATION;456456655g64sdg
JULIETA;SMS;3418975643
PEPE;MAIL;pepe@hotmail.com
JUAN;MAIL;juan@hotmail.com
ALEJANDRA;PUSH_NOTIFICATION;whf87t8bfshjb87yy89
GABRIEL;PUSH_NOTIFICATION;456456655g64sdg
JULIETA;SMS;3418975643
PEPE;MAIL;pepe@hotmail.com
JUAN;MAIL;juan@hotmail.com
ALEJANDRA;PUSH_NOTIFICATION;whf87t8bfshjb87yy89
GABRIEL;PUSH_NOTIFICATION;456456655g64sdg
JULIETA;SMS;3418975643
PEPE;MAIL;pepe@hotmail.com
JUAN;MAIL;juan@hotmail.com
ALEJANDRA;PUSH_NOTIFICATION;whf87t8bfshjb87yy89
GABRIEL;PUSH_NOTIFICATION;456456655g64sdg
JULIETA;SMS;3418975643
PEPE;MAIL;pepe@hotmail.com
JUAN;MAIL;juan@hotmail.com
ALEJANDRA;PUSH_NOTIFICATION;whf87t8bfshjb87yy89
GABRIEL;PUSH_NOTIFICATION;456456655g64sdg
JULIETA;SMS;3418975643
PEPE;MAIL;pepe@hotmail.com
JUAN;MAIL;juan@hotmail.com
ALEJANDRA;PUSH_NOTIFICATION;whf87t8bfshjb87yy89
GABRIEL;PUSH_NOTIFICATION;456456655g64sdg
JULIETA;SMS;3418975643
PEPE;MAIL;pepe@hotmail.com
JUAN;MAIL;juan@hotmail.com
ALEJANDRA;PUSH_NOTIFICATION;whf87t8bfshjb87yy89
GABRIEL;PUSH_NOTIFICATION;456456655g64sdg
JULIETA;SMS;3418975643
PEPE;MAIL;pepe@hotmail.com
JUAN;MAIL;juan@hotmail.com
ALEJANDRA;PUSH_NOTIFICATION;whf87t8bfshjb87yy89
GABRIEL;PUSH_NOTIFICATION;456456655g64sdg
JULIETA;SMS;3418975643
PEPE;MAIL;pepe@hotmail.com
JUAN;MAIL;juan@hotmail.com
ALEJANDRA;PUSH_NOTIFICATION;whf87t8bfshjb87yy89
GABRIEL;PUSH_NOTIFICATION;456456655g64sdg
JULIETA;SMS;3418975643
PEPE;MAIL;pepe@hotmail.com
JUAN;MAIL;juan@hotmail.com
ALEJANDRA;PUSH_NOTIFICATION;whf87t8bfshjb87yy89
GABRIEL;PUSH_NOTIFICATION;456456655g64sdg
JULIETA;SMS;3418975643
PEPE;MAIL;pepe@hotmail.com
JUAN;MAIL;juan@hotmail.com
ALEJANDRA;PUSH_NOTIFICATION;whf87t8bfshjb87yy89
GABRIEL;PUSH_NOTIFICATION;456456655g64sdg
JULIETA;SMS;3418975643
PEPE;MAIL;pepe@hotmail.com
JUAN;MAIL;juan@hotmail.com
ALEJANDRA;PUSH_NOTIFICATION;whf87t8bfshjb87yy89
GABRIEL;PUSH_NOTIFICATION;456456655g64sdg
JULIETA;SMS;3418975643
PEPE;MAIL;pepe@hotmail.com
JUAN;MAIL;juan@hotmail.com
ALEJANDRA;PUSH_NOTIFICATION;whf87t8bfshjb87yy89
GABRIEL;PUSH_NOTIFICATION;456456655g64sdg
JULIETA;SMS;3418975643
PEPE;MAIL;pepe@hotmail.com
JUAN;MAIL;juan@hotmail.com
ALEJANDRA;PUSH_NOTIFICATION;whf87t8bfshjb87yy89
GABRIEL;PUSH_NOTIFICATION;456456655g64sdg
JULIETA;SMS;3418975643
PEPE;MAIL;pepe@hotmail.com
JUAN;MAIL;juan@hotmail.com
ALEJANDRA;PUSH_NOTIFICATION;whf87t8bfshjb87yy89
GABRIEL;PUSH_NOTIFICATION;456456655g64sdg
JULIETA;SMS;3418975643
PEPE;MAIL;pepe@hotmail.com
JUAN;MAIL;juan@hotmail.com
ALEJANDRA;PUSH_NOTIFICATION;whf87t8bfshjb87yy89
GABRIEL;PUSH_NOTIFICATION;456456655g64sdg
